ts,y
2022-02-24 14:12:00+00:00,-1
2022-02-24 14:13:00+00:00,-1
2022-02-24 14:14:00+00:00,-1
2022-02-24 14:15:00+00:00,-1
2022-02-24 14:16:00+00:00,1
2022-02-24 14:17:00+00:00,1
2022-02-24 14:18:00+00:00,1
2022-02-24 14:19:00+00:00,1
2022-02-24 14:20:00+00:00,1
2022-02-25 01:41:00+00:00,1
2022-02-25 01:42:00+00:00,-1
2022-02-25 01:43:00+00:00,1
2022-02-25 01:44:00+00:00,-1
2022-02-25 01:45:00+00:00,1
2022-02-25 01:46:00+00:00,1
2022-02-25 01:47:00+00:00,1
2022-02-25 01:48:00+00:00,1
2022-02-25 01:49:00+00:00,1
2022-02-25 01:50:00+00:00,1
2022-02-25 01:51:00+00:00,-1
2022-02-25 01:52:00+00:00,1
2022-02-25 01:53:00+00:00,-1
2022-02-25 01:54:00+00:00,1
2022-02-25 01:55:00+00:00,1
2022-02-25 01:56:00+00:00,1
2022-02-25 01:57:00+00:00,1
2022-02-25 01:58:00+00:00,1
2022-02-25 01:59:00+00:00,-1
2022-02-25 02:00:00+00:00,1
2022-02-25 02:15:00+00:00,1
2022-02-25 02:16:00+00:00,1
2022-02-25 02:17:00+00:00,1
2022-02-25 02:18:00+00:00,1
2022-02-25 02:19:00+00:00,1
2022-02-25 02:21:00+00:00,-1
2022-02-25 02:22:00+00:00,-1
2022-02-25 02:23:00+00:00,1
2022-02-25 02:24:00+00:00,-1
2022-02-25 02:25:00+00:00,-1
